time,amplitude
6228.088563033,635.0
6228.109284038,633.0
6228.13021007,616.0
6228.150227497,592.0
6228.170620596,578.0
6228.187136529,575.0
6228.207597708,570.0
6228.228447055,543.0
6228.248687046,517.0
6228.268784243,501.0
6228.289502337,486.0
6228.310610853,493.0
6228.330457694,493.0
6228.351072066,497.0
6228.371194851,496.0
6228.391610047,497.0
6228.412432696,500.0
6228.432587904,505.0
6228.452969045,508.0
6228.469706471,507.0
6228.490683849,510.0
6228.510475697,496.0
6228.530918529,484.0
6228.551354703,472.0
6228.571852876,471.0
6228.592632151,470.0
6228.612924425,461.0
6228.633293141,461.0
6228.653764881,464.0
6228.674558642,471.0
6228.694692661,476.0
6228.71534022,495.0
6228.735940794,520.0
6228.756166317,545.0
6228.756250188,551.0795036553526
6228.756316236,553.631793958339
6228.77684147,577.0
6228.793656941,634.0
6228.813656858,685.0
6228.834001414,695.0
6228.854426953,681.0
6228.875765518,642.0
6228.895388747,605.0
6228.915888063,563.0
6228.936607504,554.0
6228.957000247,530.0
6228.978047084,495.0
6228.997805081,471.0
6229.018564501,457.0
6229.039022464,462.0
6229.060150613,476.0
6229.0799107,489.0
6229.096316472,496.0
6229.116606732,513.0
6229.137065869,517.0
6229.157749071,516.0
6229.178164222,507.0
6229.198474579,491.0
6229.219005205,485.0
6229.239740111,475.0
6229.260001406,473.0
6229.280619058,467.0
6229.300883374,473.0
6229.321366636,472.0
6229.342137422,461.0
6229.362286566,457.0
6229.379261498,464.0
6229.399178962,493.0
6229.41981192,510.0
6229.4404719,535.0
6229.460688949,563.0
6229.481625297,592.0
6229.481741972,605.5837687084721
6229.481801932,610.960972290072
6229.501639136,619.0
6229.522107634,631.0
6229.542881989,622.0
6229.563583025,608.0
6229.58348571,590.0
6229.604143047,568.0
6229.624525032,538.0
6229.645024569,523.0
6229.665409106,511.0
6229.686092813,500.0
6229.702565086,499.0
6229.722749376,504.0
6229.743592525,504.0
6229.763697513,506.0
6229.784182315,500.0
6229.804657187,495.0
6229.82580827,491.0
6229.84604267,489.0
6229.866122819,484.0
6229.886626078,490.0
6229.907089952,491.0
6229.928150263,488.0
6229.948387054,487.0
6229.968453833,486.0
6229.988898969,481.0
6230.005612638,474.0
6230.025861072,473.0
6230.046547317,471.0
6230.066778985,472.0
6230.087287482,473.0
6230.107957625,482.0
6230.128482437,504.0
6230.148807601,527.0
6230.148945097,539.1455206984507
6230.149302381,549.8197024137017
6230.16982763,573.0
6230.18988121,611.0
6230.210284237,626.0
6230.230582412,619.0
6230.251218243,599.0
6230.271725306,571.0
6230.292013315,550.0
6230.312544571,534.0
6230.329144012,530.0
6230.349569818,531.0
6230.369957875,515.0
6230.390746966,497.0
6230.41095194,486.0
6230.431288274,479.0
6230.45176545,490.0
6230.472430367,493.0
6230.493498663,497.0
6230.513250559,498.0
6230.533695642,495.0
6230.554206181,487.0
6230.574925763,487.0
6230.595109401,488.0
6230.615680988,487.0
6230.63207851,485.0
6230.652747022,494.0
6230.673000478,483.0
6230.693422844,468.0
6230.714307156,466.0
6230.734501652,464.0
6230.755165893,462.0
6230.775552908,468.0
6230.795988252,487.0
6230.816388484,519.0
6230.83707179,547.0
6230.837160293,554.7847610310309
6230.837432159,555.5645872536659
6230.857262544,570.0
6230.877735885,604.0
6230.898329506,614.0
6230.918723012,608.0
6230.935061155,594.0
6230.955530502,589.0
6230.976067864,562.0
6230.996752439,533.0
6231.017024304,508.0
6231.037496902,495.0
6231.058597424,492.0
6231.07852795,492.0
6231.098939161,495.0
6231.119419579,494.0
6231.139910786,492.0
6231.160629678,489.0
6231.180852464,492.0
6231.201314986,491.0
6231.221983277,491.0
6231.238189144,491.0
6231.258903287,499.0
6231.279115383,493.0
6231.299584674,483.0
6231.320382131,475.0
6231.341019848,472.0
6231.361027751,473.0
6231.381602296,470.0
6231.402004254,460.0
6231.422464128,457.0
6231.443037875,454.0
6231.463403799,451.0
6231.483915732,464.0
6231.504354402,484.0
6231.524892661,511.0
6231.541790679,545.0
6231.545379193,558.0800895113103
6231.545703067,560.9882331202684
6231.561753633,576.0
6231.582460683,607.0
6231.602730641,601.0
6231.623199228,586.0
6231.644334017,570.0
6231.664135597,552.0
6231.684585599,534.0
6231.70538565,522.0
6231.725854432,510.0
6231.746029778,491.0
6231.76659453,483.0
6231.787277506,485.0
6231.807456731,485.0
6231.828556992,483.0
6231.848317027,481.0
6231.865050984,491.0
6231.885270097,509.0
6231.905798692,511.0
6231.926263674,501.0
6231.947113042,486.0
6231.967270297,473.0
6231.987681388,464.0
6232.008171256,455.0
6232.028688967,456.0
6232.049114795,461.0
6232.069690987,465.0
6232.090061741,467.0
6232.110781007,466.0
6232.13099179,465.0
6232.151368256,470.0
6232.16787208,475.0
6232.188355367,481.0
6232.208806047,468.0
6232.229317453,470.0
6232.24991144,485.0
6232.270527215,509.0
6232.291340919,532.0
6232.291541709,542.0999466663726
6232.291624592,551.0666771774718
6232.311649425,558.0
6232.331839141,570.0
6232.35224009,568.0
6232.372660498,555.0
6232.393656121,540.0
6232.413775294,534.0
6232.434203186,517.0
6232.454538939,497.0
6232.471128064,495.0
6232.49171663,498.0
6232.511976317,491.0
6232.53239619,479.0
6232.5528917,475.0
6232.573367215,482.0
6232.594361454,482.0
6232.614469968,481.0
6232.634770177,489.0
6232.655344826,485.0
6232.675755059,483.0
6232.696565801,483.0
6232.716912041,480.0
6232.737413742,479.0
6232.757859766,472.0
6232.774034833,476.0
6232.79497033,489.0
6232.814983628,474.0
6232.835541936,466.0
6232.855953211,465.0
6232.87664179,465.0
6232.897026369,459.0
6232.917817441,459.0
6232.937997151,456.0
6232.958384063,465.0
6232.978816336,475.0
6232.999326672,495.0
6233.019803089,518.0
6233.040278924,540.0
6233.040380519,551.2963910134076
6233.04046703,558.6526931631875
6233.061252271,570.0
6233.081176842,584.0
6233.097633337,571.0
6233.118351259,558.0
6233.138590176,538.0
6233.159076724,519.0
6233.179801501,505.0
6233.200133236,498.0
6233.220769232,493.0
6233.241556514,488.0
6233.261455631,477.0
6233.281962456,472.0
6233.302488102,477.0
6233.322891376,484.0
6233.343854594,495.0
6233.363811866,493.0
6233.380288866,493.0
6233.400858298,503.0
6233.421429913,503.0
6233.442000498,488.0
6233.462332328,479.0
6233.482587725,478.0
6233.50305126,477.0
6233.523531663,476.0
6233.54461447,466.0
6233.564496978,466.0
6233.584987851,461.0
6233.605760564,459.0
6233.626175511,460.0
6233.646579516,460.0
6233.667028964,459.0
6233.683429973,477.0
6233.703881569,485.0
6233.72481233,491.0
6233.744994055,496.0
6233.765204703,508.0
6233.785761394,522.0
6233.785849781,532.1723651328801
6233.786116009,539.8387877883039
6233.80651405,546.0
6233.826964142,558.0
6233.847644502,565.0
6233.867803719,567.0
6233.888431435,550.0
6233.908764956,531.0
6233.929258918,515.0
6233.949763524,503.0
6233.969955166,490.0
6233.990667894,488.0
6234.006857011,497.0
6234.027340795,505.0
6234.04823185,505.0
6234.068346442,496.0
6234.08937467,482.0
6234.109286857,482.0
6234.130310494,484.0
6234.15024456,488.0
6234.170949935,491.0
6234.191439535,490.0
6234.211937281,493.0
6234.232304796,482.0
6234.252590753,480.0
6234.273684288,474.0
6234.293426067,474.0
6234.309958739,482.0
6234.33064842,490.0
6234.351201587,482.0
6234.371593485,472.0
6234.391834715,466.0
6234.412554826,461.0
6234.433049445,455.0
6234.453366529,466.0
6234.473769631,475.0
6234.494489995,484.0
6234.514736657,509.0
6234.535224486,526.0
6234.535302916,534.853440509376
6234.535371286,540.8523753986577
6234.555698804,546.0
6234.57667775,555.0
6234.596708442,566.0
6234.61702699,565.0
6234.63372757,553.0
6234.654338524,551.0
6234.674719877,534.0
6234.695547275,508.0
6234.715624132,491.0
6234.736229534,486.0
6234.756576953,485.0
6234.777104144,488.0
6234.797685114,488.0
6234.817895343,493.0
6234.838577759,497.0
6234.859174111,497.0
6234.879220374,486.0
6234.899806084,490.0
6234.916626233,491.0
6234.936547276,494.0
6234.957373673,499.0
6234.977550849,494.0
6234.998009679,479.0
6235.018462384,476.0
6235.039365909,479.0
6235.059664012,487.0
6235.079935159,481.0
6235.100400725,478.0
6235.121212223,477.0
6235.142285292,474.0
6235.162738193,471.0
6235.182910385,470.0
6235.202788231,478.0
6235.219286898,502.0
6235.239975765,511.0
6235.243998938,518.5821258400867
6235.244130137,530.8106646837416
6235.260170436,549.0
6235.280619459,572.0
6235.30116141,572.0
6235.321885066,564.0
6235.342071604,550.0
6235.362790722,536.0
6235.383044771,528.0
6235.403493494,517.0
6235.423980722,512.0
6235.444701977,501.0
6235.465224505,489.0
6235.485667265,487.0
6235.50595112,487.0
6235.526229547,494.0
6235.542705181,502.0
6235.563439117,506.0
6235.584011864,503.0
6235.604513362,504.0
6235.624906624,500.0
6235.645508906,499.0
6235.666181155,496.0
6235.686342729,489.0
6235.706801251,487.0
6235.727047155,484.0
6235.747480254,482.0
6235.768272878,478.0
6235.788787136,486.0
6235.809217658,487.0
6235.829798171,488.0
6235.845809752,491.0
6235.866816031,499.0
6235.886742735,501.0
6235.907676873,510.0
6235.928443339,511.0
6235.929526988,516.5010248370137
6235.929683913,529.8372639839167
6235.948692728,546.0
6235.968742245,565.0
6235.989133012,576.0
6236.009807693,584.0
6236.030654245,576.0
6236.050831634,559.0
6236.071052445,541.0
6236.091777244,532.0
6236.112691353,529.0
6236.132567762,518.0
6236.152906575,519.0
6236.169649604,518.0
6236.190206134,522.0
6236.210833666,506.0
6236.231198539,502.0
6236.251321122,497.0
6236.272259757,491.0
6236.292370365,492.0
6236.313101808,497.0
6236.333734799,504.0
6236.353748855,509.0
6236.374199342,511.0
6236.395049053,504.0
6236.415297211,500.0
6236.435705822,490.0
6236.452078268,487.0
6236.472679283,496.0
6236.493095841,495.0
6236.513606392,482.0
6236.534052759,479.0
6236.554650868,484.0
6236.574965444,491.0
6236.595644455,507.0
6236.616349546,523.0
6236.616482285,528.1542277766868
6236.616995091,534.5844853405033
6236.63624388,552.0
6236.656812189,582.0
6236.677748886,594.0
6236.698001573,587.0
6236.718483242,576.0
6236.738902528,562.0
6236.759659581,554.0
6236.775817889,543.0
6236.797085622,547.0
6236.816550817,538.0
6236.83734758,528.0
6236.857462115,518.0
6236.878277569,515.0
6236.898522538,514.0
6236.91926477,508.0
6236.939661505,501.0
6236.960453302,501.0
6236.980426414,508.0
6237.000841036,518.0
6237.021353467,513.0
6237.041687624,507.0
6237.058177844,499.0
6237.079462731,502.0
6237.099268562,504.0
6237.119846455,505.0
6237.140133029,504.0
6237.161080995,497.0
6237.181224569,493.0
6237.201678045,493.0
6237.22219399,488.0
6237.242482622,483.0
6237.263941696,479.0
6237.283373865,486.0
6237.304165413,503.0
6237.32450339,529.0
6237.324865614,536.449422261093
6237.325001623,538.4315071212611
6237.34487314,557.0
6237.365389637,598.0
6237.3859093,613.0
6237.402386648,611.0
6237.422993824,608.0
6237.44364794,588.0
6237.46374409,562.0
6237.484361552,543.0
6237.50458791,533.0
6237.525085625,525.0
6237.545559169,520.0
6237.56610508,512.0
6237.586493971,507.0
6237.607062298,509.0
6237.627777645,503.0
6237.648209852,507.0
6237.668366197,509.0
6237.685040957,519.0
6237.70548839,526.0
6237.725981122,519.0
6237.746627879,506.0
6237.766708304,495.0
6237.787304879,497.0
6237.807680983,504.0
6237.828722693,501.0
6237.848624273,499.0
6237.869217034,494.0
6237.889799512,496.0
6237.910415069,489.0
6237.930504378,484.0
6237.951124309,480.0
6237.971388961,481.0
6237.988249281,494.0
6238.008307737,524.0
6238.02932329,530.0
6238.029453767,535.1445222812857
6238.03294856,548.9707852137874
6238.049353545,573.0
6238.070335402,605.0
6238.090235724,611.0
6238.110945465,604.0
6238.131443934,592.0
6238.151865287,575.0
6238.172222486,559.0
6238.192990854,549.0
6238.214005471,532.0
6238.233587028,523.0
6238.254420431,517.0
6238.274610375,519.0
6238.295374021,519.0
6238.312150787,523.0
6238.332053688,534.0
6238.35252393,524.0
6238.373253561,515.0
6238.394151785,508.0
6238.41395053,500.0
6238.434609614,505.0
6238.454764275,510.0
6238.475242177,516.0
6238.496220566,514.0
6238.51645527,506.0
6238.536689376,499.0
6238.557167398,494.0
6238.577722691,491.0
6238.594180867,495.0
6238.614478807,504.0
6238.635185597,498.0
6238.65543982,494.0
6238.67637379,498.0
6238.696470306,511.0
6238.716900597,532.0
6238.737433592,547.0
6238.737519913,556.7552512630364
6238.737755197,568.7612834382337
6238.757900895,593.0
6238.778364662,629.0
6238.798820044,632.0
6238.81928916,619.0
6238.839979656,598.0
6238.860864485,583.0
6238.880690618,561.0
6238.901104011,545.0
6238.917585946,534.0
6238.938069513,536.0
6238.958798108,533.0
6238.979014016,522.0
6238.999536749,514.0
6239.020107304,505.0
6239.04044442,512.0
6239.061148053,519.0
6239.081401589,515.0
6239.101932423,520.0
6239.12274572,528.0
6239.143386698,521.0
6239.163921127,510.0
6239.184161219,500.0
6239.200382246,492.0
6239.220778842,506.0
6239.241176899,514.0
6239.262259819,511.0
6239.282320561,502.0
6239.302884497,494.0
6239.323346719,495.0
6239.344294302,493.0
6239.364366522,488.0
6239.384553894,493.0
6239.405256371,513.0
6239.425527863,543.0
6239.425682551,555.8298551168464
6239.426211347,565.7066087953614
6239.446028593,587.0
6239.4666964,623.0
6239.487206227,639.0
6239.507531009,638.0
6239.524077197,629.0
6239.544463215,618.0
6239.564723013,592.0
6239.585479962,569.0
6239.605861429,560.0
6239.626193186,546.0
6239.646608064,528.0
6239.667105884,515.0
6239.687581454,510.0
6239.708071501,516.0
6239.729044886,520.0
6239.749006196,522.0
6239.769481983,520.0
6239.790203853,522.0
6239.810933488,526.0
6239.827616177,532.0
6239.847298522,533.0
6239.867773306,523.0
6239.888234634,512.0
6239.908735031,494.0
6239.92971873,490.0
6239.949982903,479.0
6239.970338371,486.0
6239.990642663,489.0
6240.011560548,490.0
6240.032301007,482.0
6240.052135257,483.0
6240.072789692,490.0
6240.093061405,505.0
6240.109457521,530.0
6240.13081584,558.0
6240.134033697,567.5519983272978
6240.134379967,576.4318323868608
6240.150449662,600.0
6240.171173242,640.0
6240.191367981,644.0
6240.212204456,636.0
6240.232342495,624.0
6240.252755132,606.0
6240.2734631,588.0
6240.294001094,570.0
6240.31444353,556.0
6240.334816276,540.0
6240.355156955,533.0
6240.375702528,523.0
6240.396150585,514.0
6240.416575896,504.0
6240.433092684,513.0
6240.453931611,530.0
6240.474226954,524.0
6240.494916913,524.0
6240.51503284,523.0
6240.535718549,520.0
6240.555942935,521.0
6240.576387335,516.0
6240.597801105,506.0
6240.617526281,498.0
6240.637877997,492.0
6240.658380063,492.0
6240.67929838,490.0
6240.69923766,492.0
6240.71962621,487.0
6240.736094794,491.0
6240.75675772,503.0
6240.777028545,509.0
6240.798051156,507.0
6240.817989704,518.0
6240.838459742,537.0
6240.859023314,560.0
6240.859275039,571.3902397038349
6240.859350735,580.7044599156336
6240.879399016,601.0
6240.899954881,638.0
6240.920372914,649.0
6240.941174952,644.0
6240.961666408,627.0
6240.981953079,601.0
6241.002343593,581.0
6241.022742152,558.0
6241.043193289,540.0
6241.059636372,532.0
6241.080141218,535.0
6241.100599143,530.0
6241.121321949,516.0
6241.141554025,501.0
6241.162306034,511.0
6241.183199935,524.0
6241.203262554,532.0
6241.223651487,537.0
6241.24423673,532.0
6241.265136486,520.0
6241.285349435,515.0
6241.305436732,508.0
6241.325871305,502.0
6241.346266182,493.0
6241.362750802,495.0
6241.383199887,498.0
6241.403852568,491.0
6241.424807586,486.0
6241.444645216,478.0
6241.465096981,475.0
6241.485980767,474.0
6241.506262601,488.0
6241.526529127,519.0
6241.547109891,565.0
6241.547202493,585.954925217778
6241.547480863,592.9253525369654
6241.567548877,613.0
6241.588142609,659.0
6241.608424626,672.0
6241.629193405,669.0
6241.64983774,650.0
6241.66582142,620.0
6241.686493632,610.0
6241.707016145,585.0
6241.727554509,562.0
6241.748748511,538.0
6241.768689463,527.0
6241.788937967,527.0
6241.809155797,518.0
6241.829881334,513.0
6241.85011498,506.0
6241.870973575,512.0
6241.891060498,522.0
6241.912136763,528.0
6241.932175771,525.0
6241.952896186,521.0
6241.969052122,521.0
6241.989546267,523.0
6242.010093494,512.0
6242.030325166,500.0
6242.051078847,490.0
6242.071745216,479.0
6242.091813601,479.0
6242.112949466,480.0
6242.133248627,482.0
6242.15318854,480.0
6242.173837294,477.0
6242.194159159,477.0
6242.214926873,497.0
6242.235907109,514.0
6242.252236867,550.0
6242.272355201,593.0
6242.276403807,610.8741331401503
6242.276519891,618.6583440880959
6242.292723642,636.0
6242.313095361,669.0
6242.33365303,671.0
6242.353880258,653.0
6242.374369845,633.0
6242.395233115,604.0
6242.415923515,583.0
6242.43652647,558.0
6242.456266581,542.0
6242.477473621,531.0
6242.497467092,523.0
6242.517733873,515.0
6242.538306466,513.0
6242.558707697,507.0
6242.575088484,506.0
6242.595750156,518.0
6242.616432147,511.0
6242.636777124,512.0
6242.657237958,501.0
6242.677439404,496.0
6242.697917273,491.0
6242.718656225,493.0
6242.738883886,488.0
6242.759636388,483.0
6242.780202186,478.0
6242.800776465,475.0
6242.820775813,471.0
6242.84141887,468.0
6242.861961358,466.0
6242.87858976,485.0
6242.899212313,503.0
6242.919811707,517.0
6242.93958144,541.0
6242.960138018,570.0
6242.960430086,580.0881049801504
6242.960528099,584.2796497096024
6242.980525847,598.0
6243.001007308,628.0
6243.021487439,646.0
6243.04194751,652.0
6243.062421434,643.0
6243.082900374,620.0
6243.10366983,592.0
6243.124224118,568.0
6243.144334912,549.0
6243.165237399,525.0
6243.18519335,512.0
6243.202055532,515.0
6243.22222328,511.0
6243.242926247,508.0
6243.263814334,497.0
6243.283882775,499.0
6243.304215446,509.0
6243.324761825,510.0
6243.345331586,513.0
6243.365864742,511.0
6243.386813306,508.0
6243.406589129,500.0
6243.427381841,490.0
6243.447954194,482.0
6243.467995926,482.0
6243.488520185,478.0
6243.504851127,477.0
6243.525325802,486.0
6243.545960271,472.0
6243.56677237,466.0
6243.587015741,475.0
6243.607203344,502.0
6243.627684287,541.0
6243.648794098,577.0
6243.648989667,589.6601405720359
6243.649995413,592.6671590457148
6243.668794117,609.0
6243.689158005,654.0
6243.709606073,691.0
6243.730350789,693.0
6243.751094422,672.0
6243.771017405,632.0
6243.791616211,598.0
6243.811855223,571.0
6243.828513814,568.0
6243.848918849,542.0
6243.869946052,506.0
6243.890000431,477.0
6243.910555203,468.0
6243.930786449,465.0
6243.951295177,465.0
6243.972341567,470.0
6243.992306995,477.0
6244.013002692,483.0
6244.033767099,498.0
6244.053630433,507.0
6244.074357091,504.0
6244.094547601,499.0
6244.111229677,495.0
6244.131421611,500.0
6244.151893103,480.0
6244.173107676,465.0
6244.193236718,457.0
6244.213381179,453.0
6244.2341361,462.0
6244.254317717,470.0
6244.275084624,493.0
6244.295326086,531.0
6244.316087644,574.0
6244.336282799,612.0
6244.336396172,636.0089819189391
6244.336710644,650.3379756902376
6244.356916639,663.0
6244.3777109,676.0
6244.398061518,670.0
6244.418349821,643.0
6244.435075501,622.0
6244.455550329,611.0
6244.475885168,583.0
6244.495905001,558.0
6244.516673761,532.0
6244.537431039,513.0
6244.557378679,498.0
6244.577858592,489.0
6244.598569263,496.0
6244.619094697,502.0
6244.639273313,508.0
6244.659770357,515.0
6244.680493052,514.0
6244.700934502,508.0
6244.717178475,496.0
6244.737758531,501.0
6244.758297962,490.0
6244.778528309,480.0
6244.799331544,479.0
6244.820498502,474.0
6244.840642519,465.0
6244.860446097,456.0
6244.880921234,452.0
6244.901607474,451.0
6244.922078743,452.0
6244.942346946,459.0
6244.962847849,486.0
6244.983905145,514.0
6244.984075845,529.5308799682332
6244.984149122,546.1992875079434
6245.004231695,583.0
6245.024224566,641.0
6245.04063323,665.0
6245.061127543,678.0
6245.081704901,661.0
6245.102485293,634.0
6245.122649855,600.0
6245.143078305,574.0
6245.16353977,549.0
6245.184000773,533.0
6245.204885739,527.0
6245.225355594,519.0
6245.245457566,502.0
6245.266132161,486.0
6245.286624815,485.0
6245.307080512,485.0
6245.327250533,485.0
6245.344004572,489.0
6245.364850739,500.0
6245.385231286,500.0
6245.405460748,492.0
6245.42592131,483.0
6245.446163667,473.0
6245.466885965,467.0
6245.487630961,455.0
6245.507582168,453.0
6245.528444671,454.0
6245.548727604,457.0
6245.568998236,451.0
6245.589489611,444.0
6245.610154964,444.0
6245.626569184,449.0
6245.647135194,470.0
6245.667286363,498.0
6245.688556863,532.0
6245.708540598,564.0
6245.708662694,580.1919811671022
6245.708742085,594.4872104375584
6245.728758598,622.0
6245.749759349,660.0
6245.770000364,648.0
6245.790159924,626.0
6245.811292295,597.0
6245.831223806,568.0
